data_num,MQ7,MQ2,MQ4,MQ5,MQ5,MQ3,Label
1,92,50,94,83,87,68,1
2,92,50,95,83,86,68,1
3,92,50,94,82,88,68,1
4,92,50,95,83,86,68,1
5,91,49,94,82,86,67,1
6,91,51,95,84,86,67,1
7,91,52,94,82,85,67,1
8,92,50,95,83,87,67,1
9,92,50,93,82,86,67,1
10,92,50,95,82,86,71,1
11,91,50,94,82,86,67,1
12,91,49,95,82,86,69,1
13,92,47,95,83,86,69,1
14,91,50,95,82,87,67,1
15,92,50,94,82,86,67,1
16,91,49,94,81,86,67,1
17,91,49,95,81,86,67,1
18,91,48,94,82,86,67,1
19,92,50,97,82,87,67,1
20,91,50,94,82,86,67,1
21,92,49,96,82,87,66,1
22,92,52,96,82,86,70,1
23,93,50,92,80,86,68,1
24,92,50,94,82,86,66,1
25,92,50,95,83,88,67,1
26,91,50,94,82,87,69,1
27,91,50,95,81,86,67,1
28,91,50,94,82,86,68,1
29,91,50,95,82,90,67,1
30,91,50,95,82,86,66,1
31,91,50,94,84,85,66,1
32,91,50,93,82,86,67,1
33,92,50,94,82,87,67,1
34,91,49,95,83,86,67,1
35,91,50,93,82,85,67,1
36,91,50,94,82,86,67,1
37,91,51,94,84,86,68,1
38,91,50,94,82,85,67,1
39,91,50,95,83,86,67,1
40,91,50,94,83,86,67,1
41,91,49,95,82,86,70,1
42,91,50,96,82,86,67,1
43,91,49,94,81,86,67,1
44,92,50,94,82,88,67,1
45,91,50,94,82,86,66,1
46,91,50,94,82,86,67,1
47,91,50,93,82,86,67,1
48,92,52,95,82,86,68,1
49,93,50,95,83,86,68,1
50,91,49,95,82,85,67,1
51,91,50,95,83,86,67,1
52,92,50,95,82,86,67,1
53,91,50,95,82,85,68,1
54,92,50,95,82,86,67,1
55,91,49,94,81,86,67,1
56,91,48,94,82,86,66,1
57,92,50,94,82,88,67,1
58,91,49,94,82,85,67,1
59,91,50,95,82,86,66,1
60,91,50,94,82,87,66,1
61,91,50,95,82,86,64,1
62,91,49,94,82,86,66,1
63,92,50,95,82,86,66,1
64,91,50,95,82,86,67,1
65,91,50,95,82,86,67,1
66,91,51,95,82,86,68,1
67,91,49,95,82,85,70,1
68,91,51,94,83,86,67,1
69,91,53,95,83,86,68,1
70,91,54,93,81,85,67,1
71,91,51,92,82,86,67,1
72,91,52,94,82,86,68,1
73,91,51,94,82,85,70,1
74,91,51,94,82,86,67,1
75,94,51,95,82,86,67,1
76,91,51,95,83,86,69,1
77,91,50,96,82,86,69,1
78,91,51,95,83,86,70,1
79,91,51,95,83,86,68,1
80,91,50,94,82,86,67,1
81,92,50,94,82,86,67,1
82,91,50,94,83,85,67,1
83,92,50,94,82,85,67,1
84,91,50,94,82,87,67,1
85,91,51,98,81,87,69,1
86,91,49,94,82,86,68,1
87,92,50,94,82,86,67,1
88,92,50,94,82,85,67,1
89,92,51,95,82,85,67,1
90,93,51,95,82,87,67,1
91,91,49,95,81,86,67,1
92,92,50,94,82,86,67,1
93,91,50,97,82,86,67,1
94,92,51,96,82,87,67,1
95,91,51,94,81,86,68,1
96,92,50,94,82,86,66,1
97,91,54,95,82,86,67,1
98,91,51,94,82,86,67,1
99,92,50,94,82,86,68,1
100,91,51,94,83,87,67,1
101,91,50,94,82,86,67,1
102,91,51,95,82,86,66,1
103,92,50,95,82,87,67,1
104,92,51,94,82,86,67,1
105,92,51,94,82,85,67,1
106,92,51,94,84,87,68,1
107,92,50,94,82,86,67,1
108,91,50,92,82,86,67,1
109,92,51,94,82,86,66,1
110,92,50,95,83,87,67,1
111,92,50,93,84,86,67,1
112,92,50,93,83,86,67,1
113,92,50,94,83,88,66,1
114,91,51,93,82,86,67,1
115,91,51,93,83,86,67,1
116,92,52,93,82,86,68,1
117,91,50,94,83,85,67,1
118,92,50,94,83,85,67,1
119,91,50,94,83,90,67,1
120,92,51,93,85,86,69,1
121,92,51,93,85,86,69,1
122,92,51,93,84,86,68,1
123,92,54,93,83,86,68,1
124,92,51,93,85,86,69,1
125,92,51,94,83,86,67,1
126,91,50,94,83,85,67,1
127,92,51,93,83,86,67,1
128,91,51,94,83,86,67,1
129,91,51,94,83,86,67,1
130,92,51,94,83,86,67,1
131,91,50,93,83,85,67,1
132,93,50,95,83,86,67,1
133,94,50,94,83,86,67,1
134,93,49,94,81,86,67,1
135,93,50,93,82,86,67,1
136,94,50,96,83,86,67,1
137,94,51,93,83,86,67,1
138,95,51,94,87,86,68,1
139,95,50,95,83,88,67,1
140,95,51,94,83,86,67,1
141,95,50,94,83,86,67,1
142,96,51,94,84,86,67,1
143,96,50,93,83,86,68,1
144,96,51,93,83,91,68,1
145,97,50,94,82,86,68,1
146,97,49,93,82,86,66,1
147,97,50,94,83,87,67,1
148,97,51,94,83,86,69,1
149,97,51,93,83,86,67,1
150,97,51,94,82,86,68,1
151,97,51,94,83,86,68,1
152,99,51,93,83,86,67,1
153,97,51,93,83,86,68,1
154,97,51,93,86,86,67,1
155,97,51,93,83,86,67,1
156,97,50,96,83,85,69,1
157,97,51,93,82,86,66,1
158,96,50,93,82,87,67,1
159,97,51,93,82,86,67,1
160,97,51,94,83,86,68,1
161,97,51,94,83,86,68,1
162,97,51,94,83,86,67,1
163,97,53,94,84,86,67,1
164,97,53,94,83,86,68,1
165,97,50,93,83,85,68,1
166,97,51,95,83,86,68,1
167,97,52,94,85,87,68,1
168,97,51,94,82,85,68,1
169,97,50,94,83,86,68,1
170,97,51,94,84,86,70,1
171,97,51,94,84,85,68,1
172,97,51,94,83,86,68,1
173,97,49,94,83,86,69,1
174,97,50,93,82,86,68,1
175,96,51,94,81,86,68,1
176,97,51,96,83,87,67,1
177,97,51,94,82,86,68,1
178,97,51,93,83,86,69,1
179,96,51,93,83,86,68,1
180,97,52,94,83,86,69,1
181,97,51,94,83,86,69,1
182,97,51,93,83,85,69,1
183,97,51,94,82,87,68,1
184,97,51,94,82,86,69,1
185,97,49,95,83,86,71,1
186,98,51,95,83,85,69,1
187,97,50,94,82,85,69,1
188,97,51,93,83,86,69,1
189,98,50,93,82,86,68,1
190,98,51,95,83,88,69,1
191,98,51,94,83,86,69,1
192,98,51,94,85,86,70,1
193,98,51,94,83,86,69,1
194,97,51,94,82,86,70,1
195,98,52,93,83,86,70,1
196,98,51,93,83,86,70,1
197,98,52,93,83,86,70,1
198,98,51,94,83,86,70,1
199,98,51,93,81,86,70,1
200,98,51,93,83,86,70,1
201,98,52,94,83,86,71,2
202,99,53,94,83,86,70,2
203,99,53,94,82,86,70,2
204,100,51,94,83,85,71,2
205,99,51,95,82,86,72,2
206,99,52,94,82,86,72,2
207,98,52,93,83,86,72,2
208,99,51,94,82,86,72,2
209,100,53,94,83,86,72,2
210,100,52,95,83,87,73,2
211,100,52,94,81,86,73,2
212,100,50,93,87,86,73,2
213,101,51,94,83,86,73,2
214,101,54,94,83,90,74,2
215,100,52,95,83,87,74,2
216,101,51,94,83,86,73,2
217,101,50,95,83,86,74,2
218,102,52,94,84,86,76,2
219,102,51,94,83,86,75,2
220,102,52,93,83,85,75,2
221,101,52,94,82,86,74,2
222,102,52,94,83,86,76,2
223,103,51,96,83,86,75,2
224,103,52,95,83,86,76,2
225,102,52,95,84,84,76,2
226,102,52,93,83,85,76,2
227,103,52,95,82,85,76,2
228,103,52,94,83,86,77,2
229,103,52,94,82,86,77,2
230,103,51,95,87,84,77,2
231,104,53,95,85,86,78,2
232,104,52,93,83,85,78,2
233,104,52,94,83,86,77,2
234,104,50,95,82,86,78,2
235,105,51,94,83,86,79,2
236,105,52,94,83,86,78,2
237,105,51,94,83,86,80,2
238,105,53,96,83,88,80,2
239,105,52,98,81,86,79,2
240,106,52,95,82,85,80,2
241,106,52,94,83,86,80,2
242,105,53,95,84,86,81,2
243,106,52,96,83,88,81,2
244,109,52,95,81,86,79,2
245,107,52,95,83,86,80,2
246,107,53,94,83,86,81,2
247,107,53,95,83,86,81,2
248,108,53,96,83,88,81,2
249,108,53,95,81,86,82,2
250,108,53,95,83,86,82,2
251,108,53,95,81,86,82,2
252,108,53,93,83,87,83,2
253,109,53,95,84,86,82,2
254,109,53,95,83,86,84,2
255,110,53,96,83,86,83,2
256,109,52,95,82,90,84,2
257,111,54,95,83,86,86,2
258,109,51,94,83,86,84,2
259,110,54,95,83,86,84,2
260,110,54,95,82,86,84,2
261,111,53,95,83,86,85,2
262,112,53,95,83,86,86,2
263,111,54,95,83,86,85,2
264,111,54,96,83,86,84,2
265,111,54,95,83,86,86,2
266,112,54,96,83,91,86,2
267,112,53,95,83,87,86,2
268,112,54,95,83,85,86,2
269,113,54,94,83,86,87,2
270,113,54,95,83,87,86,2
271,113,54,96,83,89,87,2
272,113,53,95,83,86,87,2
273,113,54,95,83,85,87,2
274,116,54,94,83,86,88,2
275,113,55,95,84,86,88,2
276,114,54,97,83,87,88,2
277,116,53,95,88,86,89,2
278,114,55,95,83,86,89,2
279,115,55,94,83,84,90,2
280,115,55,95,86,86,90,2
281,115,55,96,83,88,90,2
282,115,55,95,84,87,90,2
283,116,55,95,83,87,91,2
284,115,55,96,83,86,91,2
285,116,55,95,82,86,92,2
286,116,55,96,83,89,91,2
287,117,54,95,82,86,92,2
288,117,53,95,84,86,93,2
289,117,55,96,83,84,93,2
290,117,55,95,84,85,93,2
291,117,55,95,85,86,93,2
292,118,55,95,83,86,93,2
293,118,56,97,83,86,94,2
294,118,54,95,83,86,94,2
295,118,56,95,85,86,97,2
296,119,56,96,83,86,95,2
297,118,56,95,83,87,94,2
298,119,55,95,84,86,95,2
299,120,56,97,83,87,95,2
300,119,56,95,86,89,96,2
301,120,56,96,83,85,96,2
302,120,56,94,83,86,96,2
303,120,57,95,83,86,96,2
